"x","y","topics","Freq","cluster"
"-0.01637597","-0.1333018","1","0.165209","1"
"-0.07809508","-0.08411937","2","0.1103953","1"
"-0.01592243","-0.0671379","3","0.3688649","1"
"0.08842306","-0.02861019","4","0.5441249","1"
"-0.03304888","0.06417428","5","0.1397749","1"
"-0.02481296","-0.0373919","6","0.1364266","1"
"0.03850791","0.09674528","7","0.7674177","1"
"-0.01440063","-0.1486625","8","0.09690941","1"
"-0.04279542","-0.01448369","9","0.1638469","1"
"-0.1437082","0.1138373","10","0.7419436","1"
"-0.05067914","-0.0556155","11","0.200264","1"
"-0.07829803","0.03661963","12","0.3725658","1"
"0.00265751","-0.04176769","13","0.3067389","1"
"0.06248237","0.006227836","14","0.1680004","1"
"-0.02547606","-0.1929575","15","0.1094795","1"
"-0.06719056","-0.04585173","16","0.1452087","1"
"-0.0140969","0.02752068","17","0.09114879","1"
"0.07444654","-0.006195696","18","0.3777349","1"
"-0.03638142","-0.006928148","19","0.1568454","1"
"-0.115107","0.06107715","20","0.1982308","1"
"0.07150134","-0.07808391","21","0.1395985","1"
"0.0730493","0.02455044","22","0.1350558","1"
"-0.03555305","0.08888534","23","0.1679728","1"
"-0.1811253","0.07717708","24","0.3279595","1"
"-0.05837834","-0.008011401","25","0.1758275","1"
"0.1483284","0.09778623","26","0.2192905","1"
"-0.04368522","-0.04840691","27","0.1337341","1"
"0.1177781","-0.02787935","28","0.1340991","1"
"0.09413515","0.02340417","29","0.1625227","1"
"-0.02335847","-0.2259595","30","0.1592342","1"
"-0.1007476","0.02374451","31","0.1758979","1"
"0.08979107","0.1116697","32","0.2167089","1"
"0.06290484","0.1259783","33","0.277124","1"
"0.1090442","0.05301202","34","0.09462213","1"
"-0.03846047","-0.007073618","35","0.1676533","1"
"-0.002354305","0.01035649","36","0.1743616","1"
"-0.0282074","0.04345451","37","0.1134417","1"
"0.07018234","-0.09944078","38","0.170813","1"
"0.01610052","0.0939486","39","0.6687771","1"
"-0.05398651","-0.07205911","40","0.1087865","1"
"-0.02393933","0.09369694","41","0.1658618","1"
"0.02272494","-0.1204672","42","0.2783798","1"
"0.05208427","-0.0547919","43","0.1496407","1"
"0.06256264","-0.002345803","44","0.08670855","1"
